Date,AMZN,GOOGL,MSFT,AAPL,GOOG
2018-05-30,58148000,28686000,22158500,74762000,22770000
2018-05-31,63326000,79368000,34140900,109931200,61766000
2018-06-01,66268000,63202000,28655600,93770000,48432000
2018-06-04,63754000,44754000,27281600,105064800,37792000
2018-06-05,95644000,32964000,23514400,86264000,33560000
2018-06-06,109464000,34934000,21122900,83734400,33964000
2018-06-07,75314000,36108000,28232200,85388800,30400000
2018-06-08,59102000,27284000,22165100,106627200,25816000
2018-06-11,46710000,24796000,23490900,73234000,21586000
2018-06-12,45184000,26092000,18325200,67644400,18240000
2018-06-13,66550000,34302000,29492900,86553600,30128000
2018-06-14,63488000,35422000,25691800,86440400,26868000
2018-06-15,95552000,44438000,65738600,246876800,42450000
2018-06-18,62154000,33038000,23586000,73939600,28274000
2018-06-19,85802000,47282000,28653100,134314000,32420000
2018-06-20,86652000,51686000,26180800,82514800,32970000
2018-06-21,98822000,44966000,23198200,102847600,24762000
2018-06-22,81502000,34220000,38923100,108801600,26220000
2018-06-25,150224000,57682000,35433300,126652400,43146000
2018-06-26,87732000,34688000,26897200,98276800,31264000
2018-06-27,97444000,34538000,31298400,101141200,25878000
2018-06-28,90594000,29726000,26650700,69460800,21448000
2018-06-29,90870000,31562000,28053200,90950800,26302000
2018-07-02,63714000,23216000,19564500,70925200,24346000
2018-07-03,43546000,16448000,14670300,55819200,13580000
2018-07-05,59662000,28594000,18977400,66416800,21334000
2018-07-06,53006000,21820000,19234600,69940800,19922000
2018-07-09,60240000,21584000,18212000,79026400,18180000
2018-07-10,60058000,21334000,19293100,63756400,15968000
2018-07-11,64196000,33252000,19644600,75326000,22400000
2018-07-12,90654000,44148000,24335900,72164400,25038000
2018-07-13,87664000,32612000,24635200,50055600,24438000
2018-07-16,109324000,26784000,21786900,60172400,21114000
2018-07-17,113658000,40162000,25901700,62138000,32208000
2018-07-18,97238000,38948000,29493900,65573600,27872000
2018-07-19,93538000,38338000,40171600,81147200,25534000
2018-07-20,77688000,37938000,56004000,82704800,24948000
2018-07-23,77770000,65446000,29707000,63957600,52384000
2018-07-24,85574000,107600000,26316600,74791600,66364000
2018-07-25,74764000,51104000,30702100,66839600,42556000
2018-07-26,198488000,54686000,31372100,76304000,48112000
2018-07-27,193620000,48362000,37005300,96096000,42612000
2018-07-30,131246000,43896000,34668300,84118000,36998000
2018-07-31,114774000,39382000,27655200,157492000,32894000
2018-08-01,83062000,36994000,23628700,271742800,31344000
2018-08-02,87094000,34704000,26104300,249616000,30626000
2018-08-03,69210000,21264000,18659600,133789600,21792000
2018-08-06,67836000,22114000,20265900,101701600,21634000
2018-08-07,67550000,42506000,16080200,102349600,29880000
2018-08-08,79260000,34344000,15487500,90102000,27406000
2018-08-09,97208000,27326000,13677200,93970400,16972000
2018-08-10,72798000,26602000,18183700,98444800,22174000
2018-08-13,110630000,27500000,18472500,103563600,19946000
2018-08-14,79722000,28080000,16788300,82992000,26962000
2018-08-15,154014000,37052000,29982800,115230400,36576000
2018-08-16,79142000,32176000,21384300,114001600,26864000
2018-08-17,82086000,33092000,18061500,141708000,27792000
2018-08-20,57240000,22218000,17914200,121150800,17416000
2018-08-21,62112000,23082000,22881900,104639200,24112000
2018-08-22,61610000,22296000,18000600,76072400,17748000
2018-08-23,71260000,24666000,18167700,75532800,19852000
2018-08-24,56018000,24454000,17234000,73905600,18932000
2018-08-27,71380000,28580000,19662300,82100400,23126000
2018-08-28,62014000,27330000,19151500,91107200,26080000
2018-08-29,130636000,36926000,20818000,109019200,25978000
2018-08-30,145546000,30104000,22798700,195175200,26628000
2018-08-31,84088000,42308000,23222700,173360400,36328000
2018-09-04,114422000,41458000,22634600,109560400,36620000
2018-09-05,164412000,53988000,32872400,133332000,41226000
2018-09-06,149774000,46854000,23477600,137160000,37770000
2018-09-07,97852000,32658000,22498600,150479200,28026000
2018-09-10,90896000,27670000,20727900,158066000,22308000
2018-09-11,100672000,29254000,24301800,142996000,24186000
2018-09-12,88280000,35716000,18891100,197114800,25910000
2018-09-13,72430000,40068000,26055600,166825600,28624000
2018-09-14,72840000,24176000,19122300,127997200,18880000
2018-09-17,141004000,34096000,20736500,148780400,26130000
2018-09-18,85374000,32314000,22170900,126286800,24072000
2018-09-19,81136000,25962000,21728400,108495200,23828000
2018-09-20,63098000,29244000,23714500,106435200,24508000
2018-09-21,137118000,91222000,71229700,384986800,88112000
2018-09-24,84274000,31150000,27334500,110773600,25420000
2018-09-25,90768000,33152000,22668000,98217600,19554000
2018-09-26,86270000,37650000,19352000,95938800,29246000
