Date,AMZN,GOOGL,MSFT,AAPL,GOOG
2022-08-10,142.69000244140625,119.6999969482422,289.1600036621094,169.24000549316406,120.6500015258789
2022-08-11,140.63999938964844,118.83999633789062,287.0199890136719,168.49000549316406,119.81999969482422
2022-08-12,143.5500030517578,121.68000030517578,291.9100036621094,172.10000610351562,122.6500015258789
2022-08-15,143.17999267578125,122.08000183105467,293.4700012207031,173.19000244140625,122.87999725341795
2022-08-16,144.77999877929688,121.6999969482422,292.7099914550781,173.02999877929688,122.51000213623048
2022-08-17,142.10000610351562,119.5500030517578,291.32000732421875,174.5500030517578,120.31999969482422
2022-08-18,142.3000030517578,120.16999816894533,290.1700134277344,174.14999389648438,120.86000061035156
2022-08-19,138.22999572753906,117.20999908447266,286.1499938964844,171.52000427246094,118.12000274658205
2022-08-22,133.22000122070312,114.23999786376952,277.75,167.57000732421875,115.06999969482422
2022-08-23,133.6199951171875,113.86000061035156,276.44000244140625,167.22999572753906,114.7699966430664
2022-08-24,133.8000030517578,113.69000244140624,275.7900085449219,167.52999877929688,114.6999969482422
2022-08-25,137.27999877929688,116.6500015258789,278.8500061035156,170.02999877929688,117.6999969482422
2022-08-26,130.75,110.33999633789062,268.0899963378906,163.6199951171875,111.3000030517578
2022-08-29,129.7899932861328,109.41999816894533,265.2300109863281,161.3800048828125,110.33999633789062
2022-08-30,128.72999572753906,108.94000244140624,262.9700012207031,158.91000366210938,109.91000366210938
2022-08-31,126.7699966430664,108.22000122070312,261.4700012207031,157.22000122070312,109.1500015258789
2022-09-01,127.81999969482422,109.73999786376952,260.3999938964844,157.9600067138672,110.5500030517578
2022-09-02,127.51000213623048,107.8499984741211,256.0599975585937,155.80999755859375,108.68000030517578
2022-09-06,126.11000061035156,106.80999755859376,253.25,154.52999877929688,107.4800033569336
2022-09-07,129.47999572753906,109.4499969482422,258.0899963378906,155.9600067138672,110.4800033569336
2022-09-08,129.82000732421875,108.37999725341795,258.5199890136719,154.4600067138672,109.41999816894533
2022-09-09,133.27000427246094,110.6500015258789,264.4599914550781,157.3699951171875,111.77999877929688
2022-09-12,136.4499969482422,110.86000061035156,266.6499938964844,163.42999267578125,111.87000274658205
2022-09-13,126.81999969482422,104.31999969482422,251.9900054931641,153.83999633789062,105.30999755859376
2022-09-14,128.5500030517578,105.0,252.22000122070312,155.30999755859375,105.87000274658205
