Date,AMZN,GOOGL,MSFT,AAPL,GOOG
2018-01-02,58.59999847412109,52.6510009765625,86.12999725341797,42.540000915527344,52.41699981689453
2018-01-03,59.415000915527344,53.69649887084961,86.05999755859375,43.13249969482422,53.21549987792969
2018-01-04,60.25,54.85449981689453,86.58999633789062,43.1349983215332,54.400001525878906
2018-01-05,60.8754997253418,55.17250061035156,87.66000366210938,43.36000061035156,54.70000076293945
2018-01-08,61.79999923706055,55.54999923706055,88.19999694824219,43.587501525878906,55.11149978637695
2018-01-09,62.845001220703125,55.922000885009766,88.6500015258789,43.63750076293945,55.470001220703125
2018-01-10,62.25749969482422,55.34999847412109,87.86000061035156,43.290000915527344,54.85499954223633
2018-01-11,62.98699951171875,55.615501403808594,88.12999725341797,43.647499084472656,55.31499862670898
2018-01-12,63.66949844360352,55.505001068115234,88.66999816894531,44.04499816894531,55.12049865722656
2018-01-16,66.1500015258789,57.01549911499024,90.0999984741211,44.47499847412109,56.6254997253418
2018-01-17,65.61199951171875,56.81800079345703,89.08000183105469,44.03749847412109,56.31100082397461
2018-01-18,64.69750213623047,56.96749877929688,89.80000305175781,44.84249877929688,56.570499420166016
2018-01-19,65.5999984741211,56.9015007019043,90.13999938964844,44.65250015258789,56.59149932861328
2018-01-22,64.8584976196289,57.19100189208984,90.0,44.32500076293945,56.8745002746582
2018-01-23,66.90450286865234,58.53099822998047,91.9000015258789,44.32500076293945,57.99250030517578
2018-01-24,68.74099731445312,59.249000549316406,92.5500030517578,44.3125,58.86650085449219
2018-01-25,68.4000015258789,59.03549957275391,92.47000122070312,43.62749862670898,58.62649917602539
2018-01-26,69.60050201416016,59.37649917602539,93.12000274658205,43.0,58.75400161743164
2018-01-29,70.45899963378906,59.400001525878906,95.13999938964844,42.540000915527344,58.82400131225586
2018-01-30,70.15850067138672,58.88600158691406,93.3000030517578,41.38249969482422,58.39149856567383
2018-01-31,72.56500244140625,59.19049835205078,93.75,41.71749877929688,58.52849960327149
2018-02-01,72.25,58.79949951171875,94.79000091552734,41.79249954223633,58.13050079345703
2018-02-02,73.86949920654297,56.37099838256836,93.63999938964844,41.5,56.09999847412109
2018-02-05,70.13099670410156,55.03049850463867,90.55999755859376,39.775001525878906,54.52999877929688
2018-02-06,68.072998046875,51.69900131225586,86.88999938964844,38.70750045776367,51.35900115966797
2018-02-07,72.44999694824219,54.24850082397461,90.48999786376952,40.772499084472656,54.07699966430664
2018-02-08,71.48400115966797,52.993499755859375,89.70999908447266,40.0724983215332,52.77050018310547
2018-02-09,68.67449951171875,51.29399871826172,86.30000305175781,39.26750183105469,50.86249923706055
2018-02-12,68.2334976196289,52.83349990844727,88.73999786376953,39.625,52.400001525878906
2018-02-13,69.29650115966797,52.5,88.93000030517578,40.48749923706055,52.25
2018-02-14,70.3125,52.71599960327149,88.51000213623047,40.7599983215332,52.4474983215332
2018-02-15,73.34449768066406,54.17250061035156,91.20999908447266,42.4474983215332,53.95349884033203
2018-02-16,72.86849975585938,54.66899871826172,92.4499969482422,43.09000015258789,54.420501708984375
2018-02-20,72.32450103759766,54.63800048828125,91.4800033569336,43.01250076293945,54.52849960327149
2018-02-21,74.25,55.45500183105469,92.9800033569336,43.20750045776367,55.32350158691406
2018-02-22,74.76799774169922,55.95849990844727,92.0500030517578,42.95000076293945,55.80950164794922
2018-02-23,74.76699829101562,55.93299865722656,93.5999984741211,43.41749954223633,55.63199996948242
2018-02-26,75.45999908447266,56.59299850463867,94.4000015258789,44.087501525878906,56.38999938964844
2018-02-27,76.2249984741211,57.185001373291016,95.73999786376952,44.775001525878906,57.0620002746582
2018-02-28,75.97550201416016,56.09999847412109,94.83999633789062,44.81499862670898,56.1515007019043
2018-03-01,75.68000030517578,55.47700119018555,93.98999786376952,44.6349983215332,55.39350128173828
2018-03-02,73.45500183105469,52.89899826049805,91.58000183105467,43.20000076293945,52.65399932861328
2018-03-05,74.71199798583984,53.90650177001953,92.33999633789062,43.8025016784668,53.75699996948242
2018-03-06,76.66000366210938,55.10499954223633,94.33999633789062,44.477500915527344,54.96099853515625
2018-03-07,76.32599639892578,54.64099884033203,93.16000366210938,43.73500061035156,54.45949935913086
2018-03-08,77.5,55.86000061035156,94.2699966430664,43.869998931884766,55.76599884033203
2018-03-09,78.17500305175781,56.97499847412109,95.29000091552734,44.4900016784668,56.79999923706055
2018-03-12,79.62999725341797,58.25249862670898,96.5,45.0724983215332,58.192501068115234
2018-03-13,80.7979965209961,58.59149932861328,97.0,45.647499084472656,58.5
2018-03-14,79.8499984741211,57.290000915527344,95.12000274658205,45.08000183105469,57.260501861572266
2018-03-15,79.75,57.47850036621094,93.52999877929688,44.625,57.49800109863281
2018-03-16,79.17250061035156,57.76750183105469,94.68000030517578,44.66249847412109,57.70700073242188
2018-03-19,77.72650146484375,55.88800048828125,93.73999786376952,44.33000183105469,56.0004997253418
2018-03-20,77.51699829101562,54.91999816894531,93.0500030517578,43.810001373291016,54.95000076293945
2018-03-21,79.32250213623047,54.62850189208984,92.93000030517578,43.7599983215332,54.637001037597656
2018-03-22,78.27349853515625,54.0004997253418,91.2699966430664,42.5,54.09400177001953
2018-03-23,76.95050048828125,52.56850051879883,89.5,42.09749984741211,52.35150146484375
2018-03-26,76.5,52.52999877929688,90.61000061035156,42.01750183105469,52.29999923706055
2018-03-27,78.62000274658203,53.19499969482422,94.94000244140624,43.41999816894531,53.150001525878906
2018-03-28,72.3499984741211,50.09550094604492,89.81999969482422,41.8125,49.900001525878906
2018-03-29,70.30000305175781,50.56050109863281,90.18000030517578,41.95249938964844,50.58150100708008
2018-04-02,70.88099670410156,51.38100051879883,90.47000122070312,41.65999984741211,51.14099884033203
2018-04-03,69.56900024414062,50.807498931884766,89.58000183105469,41.90999984741211,50.695499420166016
2018-04-04,67.91200256347656,49.9114990234375,87.8499984741211,41.220001220703125,49.670501708984375
2018-04-05,72.09950256347656,52.31949996948242,92.44000244140624,43.14500045776367,52.06650161743164
