Date,AMZN,NVDA,GOOGL,MSFT,FB,TSLA,AAPL,GOOG
2018-04-23,89308000,42750800,69590000,22331800,,73401000,146062000,46826000
2018-04-24,149894000,41459600,128220000,34524800,,85279500,134768000,95206000
2018-04-25,131746000,58849200,57860000,33729300,,60204000,113528400,47822000
2018-04-26,176022000,37582400,50926000,42529000,,65340000,111852000,41590000
2018-04-27,261064000,40084800,40746000,48272800,,65469000,142623200,32396000
2018-04-30,109282000,32784400,34492000,41523600,,63423000,169709600,33426000
2018-05-01,91442000,25378800,35326000,31408900,,69384000,214277600,28558000
2018-05-02,87206000,26824800,34698000,27471000,,134556000,266157600,32062000
2018-05-03,85038000,44314400,39282000,31142500,,260281500,136272800,36302000
2018-05-04,68872000,40066000,36892000,22531300,,128541000,224805200,38774000
2018-05-07,76038000,68761600,34400000,24242000,,130173000,169805600,29322000
2018-05-08,61358000,50661600,26030000,23484600,,88950000,113611200,24354000
2018-05-09,72746000,59676000,47160000,27327400,,85911000,92844800,40656000
2018-05-10,56350000,99408000,36414000,22388100,,84774000,111957200,28860000
2018-05-11,45278000,121445600,30504000,16778300,,70194000,104848800,25074000
2018-05-14,50190000,52314000,39338000,19454100,,109302000,83115200,30362000
2018-05-15,101550000,96352800,35738000,24594000,,142788000,94780800,29898000
2018-05-16,51412000,55382800,25628000,17384700,,85110000,76732400,21946000
2018-05-17,42952000,51978400,25738000,17246700,,66309000,69176000,20876000
2018-05-18,52852000,48371600,35482000,17865800,,108778500,73190800,31304000
2018-05-21,58504000,64062400,25180000,19422500,,137739000,73603200,20464000
2018-05-22,42312000,51826400,22226000,15441200,,134187000,60962800,21800000
2018-05-23,67238000,44295600,23740000,21251200,,89776500,80233600,21214000
2018-05-24,68600000,43737200,20604000,26649300,,62650500,92936000,15336000
2018-05-25,53968000,29211200,22224000,18363900,,58126500,69844000,17988000
2018-05-29,76930000,35268400,36076000,28671000,,84999000,90056400,37302000
2018-05-30,58148000,39099600,28686000,22158500,,112345500,74762000,22770000
2018-05-31,63326000,49386800,79368000,34140900,,88795500,109931200,61766000
2018-06-01,66268000,42196800,63202000,28655600,,81366000,93770000,48432000
2018-06-04,63754000,64202400,44754000,27281600,,71967000,105064800,37792000
2018-06-05,95644000,39171200,32964000,23514400,,89928000,86264000,33560000
2018-06-06,109464000,37135600,34934000,21122900,,281509500,83734400,33964000
2018-06-07,75314000,36944800,36108000,28232200,,215179500,85388800,30400000
2018-06-08,59102000,36045600,27284000,22165100,,123078000,106627200,25816000
2018-06-11,46710000,26537200,24796000,23490900,,197752500,73234000,21586000
2018-06-12,45184000,31916000,26092000,18325200,,335211000,67644400,18240000
2018-06-13,66550000,33820800,34302000,29492900,,142047000,86553600,30128000
2018-06-14,63488000,43001600,35422000,25691800,,164715000,86440400,26868000
2018-06-15,95552000,43226000,44438000,65738600,,162724500,246876800,42450000
2018-06-18,62154000,35626800,33038000,23586000,,181098000,73939600,28274000
2018-06-19,85802000,59493200,47282000,28653100,,191428500,134314000,32420000
2018-06-20,86652000,36978000,51686000,26180800,,125755500,82514800,32970000
2018-06-21,98822000,35951600,44966000,23198200,,119506500,102847600,24762000
2018-06-22,81502000,43416000,34220000,38923100,,153991500,108801600,26220000
2018-06-25,150224000,66581600,57682000,35433300,,103969500,126652400,43146000
2018-06-26,87732000,47888400,34688000,26897200,,111787500,98276800,31264000
2018-06-27,97444000,45389200,34538000,31298400,,125005500,101141200,25878000
2018-06-28,90594000,33801200,29726000,26650700,,125970000,69460800,21448000
2018-06-29,90870000,39230000,31562000,28053200,,97386000,90950800,26302000
2018-07-02,63714000,35757200,23216000,19564500,,281397000,70925200,24346000
2018-07-03,43546000,22273200,16448000,14670300,,184239000,55819200,13580000
2018-07-05,59662000,30621600,28594000,18977400,,262146000,66416800,21334000
2018-07-06,53006000,29635200,21820000,19234600,,132982500,69940800,19922000
2018-07-09,60240000,30388000,21584000,18212000,,113952000,79026400,18180000
2018-07-10,60058000,36001600,21334000,19293100,,142072500,63756400,15968000
2018-07-11,64196000,36750800,33252000,19644600,,73261500,75326000,22400000
2018-07-12,90654000,34550800,44148000,24335900,,85818000,72164400,25038000
2018-07-13,87664000,24698800,32612000,24635200,,88047000,50055600,24438000
2018-07-16,109324000,19703600,26784000,21786900,,117280500,60172400,21114000
2018-07-17,113658000,36213600,40162000,25901700,,104943000,62138000,32208000
2018-07-18,97238000,27764000,38948000,29493900,,84363000,65573600,27872000
2018-07-19,93538000,23575200,38338000,40171600,,88729500,81147200,25534000
2018-07-20,77688000,22235200,37938000,56004000,,77433000,82704800,24948000
2018-07-23,77770000,30158400,65446000,29707000,,164893500,63957600,52384000
2018-07-24,85574000,35462000,107600000,26316600,,143862000,74791600,66364000
2018-07-25,74764000,31911200,51104000,30702100,,106131000,66839600,42556000
2018-07-26,198488000,32512400,54686000,31372100,,69457500,76304000,48112000
2018-07-27,193620000,29542000,48362000,37005300,,85549500,96096000,42612000
2018-07-30,131246000,34034000,43896000,34668300,,102211500,84118000,36998000
2018-07-31,114774000,28398800,39382000,27655200,,76153500,157492000,32894000
2018-08-01,83062000,28355600,36994000,23628700,,151941000,271742800,31344000
2018-08-02,87094000,26966800,34704000,26104300,,348225000,249616000,30626000
2018-08-03,69210000,21428800,21264000,18659600,,204847500,133789600,21792000
2018-08-06,67836000,20750800,22114000,20265900,,128464500,101701600,21634000
2018-08-07,67550000,25813200,42506000,16080200,,463137000,102349600,29880000
2018-08-08,79260000,26210000,34344000,15487500,,368568000,90102000,27406000
2018-08-09,97208000,20428000,27326000,13677200,,257757000,93970400,16972000
2018-08-10,72798000,25639600,26602000,18183700,,173280000,98444800,22174000
2018-08-13,110630000,37520800,27500000,18472500,,156958500,103563600,19946000
2018-08-14,79722000,46622000,28080000,16788300,,104796000,82992000,26962000
2018-08-15,154014000,59113600,37052000,29982800,,136519500,115230400,36576000
2018-08-16,79142000,80126000,32176000,21384300,,90960000,114001600,26864000
2018-08-17,82086000,114318800,33092000,18061500,,284379000,141708000,27792000
2018-08-20,57240000,85438800,22218000,17914200,,261034500,121150800,17416000
2018-08-21,62112000,67398800,23082000,22881900,,197583000,104639200,24112000
2018-08-22,61610000,74985600,22296000,18000600,,89190000,76072400,17748000
2018-08-23,71260000,72068400,24666000,18167700,,77209500,75532800,19852000
2018-08-24,56018000,53151200,24454000,17234000,,54039000,73905600,18932000
2018-08-27,71380000,50577600,28580000,19662300,,196189500,82100400,23126000
2018-08-28,62014000,47538400,27330000,19151500,,114736500,91107200,26080000
2018-08-29,130636000,42010800,36926000,20818000,,111711000,109019200,25978000
2018-08-30,145546000,34660800,30104000,22798700,,108250500,195175200,26628000
2018-08-31,84088000,30659200,42308000,23222700,,80626500,173360400,36328000
2018-09-04,114422000,39172000,41458000,22634600,,125257500,109560400,36620000
2018-09-05,164412000,39315600,53988000,32872400,,115812000,133332000,41226000
2018-09-06,149774000,32279600,46854000,23477600,,112212000,137160000,37770000
2018-09-07,97852000,29542000,32658000,22498600,,337378500,150479200,28026000
2018-09-10,90896000,22014000,27670000,20727900,,214252500,158066000,22308000
2018-09-11,100672000,24311200,29254000,24301800,,137550000,142996000,24186000
2018-09-12,88280000,41909200,35716000,18891100,,150231000,197114800,25910000
2018-09-13,72430000,30553600,40068000,26055600,,95104500,166825600,28624000
2018-09-14,72840000,38693600,24176000,19122300,,101484000,127997200,18880000
2018-09-17,141004000,20552800,34096000,20736500,,103314000,148780400,26130000
2018-09-18,85374000,29952000,32314000,22170900,,248212500,126286800,24072000
2018-09-19,81136000,22486000,25962000,21728400,,124423500,108495200,23828000
2018-09-20,63098000,43058400,29244000,23714500,,110241000,106435200,24508000
2018-09-21,137118000,43512800,91222000,71229700,,75757500,384986800,88112000
2018-09-24,84274000,29391200,31150000,27334500,,72645000,110773600,25420000
2018-09-25,90768000,28038800,33152000,22668000,,67225500,98217600,19554000
2018-09-26,86270000,26854800,37650000,19352000,,117648000,95938800,29246000
2018-09-27,86588000,21442800,36274000,19091300,,127636500,120724800,25216000
2018-09-28,81702000,70939600,35612000,21647800,,504745500,91717600,27612000
2018-10-01,69210000,62206000,33164000,18883100,,326664000,94403200,27152000
2018-10-02,108014000,38396400,40180000,20787200,,176152500,99152800,33758000
2018-10-03,105062000,32055200,26246000,16648000,,119925000,114619200,25124000
2018-10-04,145140000,39122000,46576000,34821700,,147213000,128168000,44190000
2018-10-05,136446000,42663600,31852000,29068900,,269167500,134322000,23686000
2018-10-08,147864000,40861200,46190000,29640600,,202090500,118655600,38648000
2018-10-09,95458000,27350000,33690000,26198600,,180909000,107564000,26174000
2018-10-10,219778000,68494000,58980000,61376300,,192229500,167962400,53514000
2018-10-11,278718000,72543600,67696000,63904300,,122515500,212497600,58980000
2018-10-12,188892000,60823600,49370000,47742100,,108021000,161351600,42026000
2018-10-15,128744000,44976000,30074000,32068100,,93000000,123164000,27448000
2018-10-16,117198000,40871200,38378000,31610200,,142896000,116736000,38570000
2018-10-17,105904000,32966800,35652000,26548200,,129832500,91541600,29344000
2018-10-18,117480000,52402000,46152000,32506200,,81318000,130325200,41890000
2018-10-19,118144000,61360800,41286000,32785500,,140632500,132314800,25352000
2018-10-22,90000000,36884400,27116000,26545600,,84004500,115168400,30284000
2018-10-23,134478000,62643600,37686000,43770400,,285417000,155071200,36974000
2018-10-24,138568000,88428800,49286000,63897800,,300874500,163702000,39648000
2018-10-25,205714000,95172000,72956000,61646800,,312610500,119423200,50916000
2018-10-26,299276000,66478400,106438000,55523100,,411382500,189033600,83752000
2018-10-29,277322000,75801600,81290000,55162000,,217290000,183742000,77614000
2018-10-30,249202000,80719200,59768000,65350900,,136900500,146640000,64254000
2018-10-31,187804000,74577200,70916000,51062400,,114364500,153435600,50596000
2018-11-01,162710000,56652800,40132000,33384200,,120001500,233292800,29640000
2018-11-02,139110000,45296000,43438000,37680200,,117120000,365314800,36780000
2018-11-05,112494000,37933200,45358000,27922100,,117465000,264654800,48828000
2018-11-06,85148000,29901200,28660000,24340200,,101443500,127531600,24666000
2018-11-07,163844000,48381200,43388000,37901700,,110617500,133697600,41168000
2018-11-08,130698000,51135200,33694000,25644100,,106360500,101450400,29764000
2018-11-09,118044000,41324000,34860000,32039200,,76482000,137463200,26864000
2018-11-12,136124000,61711600,34002000,33621800,,104122500,204542000,29436000
2018-11-13,118666000,64471200,25750000,35374600,,81729000,187531600,30274000
2018-11-14,129738000,52658000,34666000,39495100,,75604500,243204000,31318000
2018-11-15,168546000,84070800,41584000,38505200,,69385500,185915200,36722000
2018-11-16,121322000,196352000,35366000,33502100,,108093000,147713200,33162000
2018-11-19,155800000,169782000,45684000,44773900,,145633500,167701200,37172000
2018-11-20,217576000,169203200,54458000,64052500,,120070500,271300800,48982000
2018-11-21,114336000,102549600,29698000,28130600,,70302000,124496800,30686000
2018-11-23,54152000,41196800,14178000,13823100,,63039000,94496000,13830000
2018-11-26,125154000,81483200,31558000,32336200,,119881500,179994000,38856000
2018-11-27,115664000,73806000,33048000,29124500,,95374500,165549600,36064000
2018-11-28,169174000,80452400,46042000,46788500,,61914000,184250000,49508000
2018-11-29,132264000,54917200,31004000,28123200,,46210500,167080000,29378000
2018-11-30,115236000,72956400,59668000,33665600,,84436500,158126000,51604000
2018-12-03,137246000,89080400,57532000,34732800,,124597500,163210000,39824000
2018-12-04,173890000,81211200,45630000,45197000,,126928500,165377200,46904000
2018-12-06,175788000,69230800,47436000,49107400,,117637500,172393600,55384000
