Date,MSFT,GOOGL,AMZN,AAPL,GOOG
2018-01-02,86.30999755859375,53.79899978637695,59.5,43.07500076293945,53.34700012207031
2018-01-03,86.51000213623047,54.80500030517578,60.27450180053711,43.63750076293945,54.31449890136719
2018-01-04,87.66000366210938,55.20399856567383,60.79349899291992,43.36750030517578,54.67850112915039
2018-01-05,88.41000366210938,55.67900085449219,61.45700073242188,43.84249877929688,55.212501525878906
2018-01-08,88.58000183105469,55.95800018310547,62.65399932861328,43.90250015258789,55.5634994506836
2018-01-09,88.7300033569336,55.922000885009766,62.96649932861328,43.76499938964844,55.52849960327149
2018-01-10,88.19000244140625,55.63899993896485,62.71649932861328,43.57500076293945,55.22999954223633
2018-01-11,88.12999725341797,55.74250030517578,63.8385009765625,43.872501373291016,55.32624816894531
2018-01-12,89.77999877929688,56.56499862670898,65.28800201416016,44.34000015258789,56.214500427246094
2018-01-16,90.79000091552734,57.44400024414063,66.99700164794922,44.84749984741211,56.99549865722656
2018-01-17,90.27999877929688,56.96599960327149,65.69999694824219,44.8125,56.630001068115234
2018-01-18,90.66999816894533,57.02949905395508,65.2300033569336,45.025001525878906,56.6254997253418
2018-01-19,90.61000061035156,57.18899917602539,65.6500015258789,44.89500045776367,56.89300155639648
2018-01-22,91.62000274658205,58.34400177001953,66.37249755859375,44.44499969482422,57.99399948120117
2018-01-23,92.3000030517578,58.92549896240234,68.24500274658203,44.86000061035156,58.58134841918945
2018-01-24,93.43000030517578,59.352500915527344,69.40799713134766,44.32500076293945,58.99300003051758
2018-01-25,93.23999786376952,59.25,68.91699981689453,43.73749923706055,58.797000885009766
2018-01-26,94.05999755859376,59.37799835205078,70.12650299072266,43.0,58.79199981689453
2018-01-29,95.4499969482422,59.900001525878906,71.56950378417969,42.540000915527344,59.34450149536133
2018-01-30,93.66000366210938,59.39649963378906,71.9625015258789,41.84249877929688,58.82600021362305
2018-01-31,95.4000015258789,59.31600189208984,73.62899780273438,42.11000061035156,58.650001525878906
